"","index","variable","value"
"108",39,"rCl2",0.472719996341864
"109",40,"rCl2",0.413410980277854
"110",41,"rCl2",0.739982534982188
"111",42,"rCl2",1
"112",43,"rCl2",0.945642906059519
"113",44,"rCl2",1
"114",45,"rCl2",1
"115",46,"rCl2",0.977851643167358
"116",47,"rCl2",0.946372364160084
"117",48,"rCl2",0.750368015405808
"118",49,"rCl2",0.159785539325545
"119",50,"rCl2",0.129280174772912
"120",51,"rCl2",0.919387054587169
"121",52,"rCl2",0.901476406569829
"122",53,"rCl2",0.897347789609163
"123",54,"rCl2",0.914440241581711
"124",55,"rCl2",0.258187843948838
"125",56,"rCl2",0.120064698830945
"126",57,"rCl2",0.303523855427114
"127",58,"rCl2",0.10773755670782
"128",59,"rCl2",0.231105610340551
"129",60,"rCl2",0.921181502797502
"130",61,"rCl2",0.693227494551012
"131",62,"rCl2",0.908175091494731
"132",63,"rCl2",0.911985843818025
"133",64,"rCl2",0.969095339081169
"134",65,"rCl2",0.892754685788036
"135",66,"rCl2",0.490702776819375
"136",67,"rCl2",0.779978980260493
"137",68,"rCl2",0.830428277303539
"138",69,"rCl2",0.953703560636976
"139",1,"nCl1",0.1304348
"140",2,"nCl1",0.2608696
"141",3,"nCl1",0.0543479
"142",4,"nCl1",0.9891306
"143",5,"nCl1",0.9999996
"144",6,"nCl1",1
"145",7,"nCl1",1
"146",8,"nCl1",1
"147",9,"nCl1",1
"148",10,"nCl1",0
"149",11,"nCl1",0
"150",12,"nCl1",0
"151",13,"nCl1",0
"152",14,"nCl1",0
"153",15,"nCl1",1
"154",16,"nCl1",1
"155",17,"nCl1",1
"156",18,"nCl1",1
"157",19,"nCl1",0.98913
"158",20,"nCl1",0.9891306
"159",21,"nCl1",0.0543479
"160",22,"nCl1",0.1086957
"161",23,"nCl1",0
"162",24,"nCl1",0.576087
"163",25,"nCl1",1
"164",26,"nCl1",1
"165",27,"nCl1",1
"166",28,"nCl1",1
"167",29,"nCl1",1
"168",30,"nCl1",0
"169",31,"nCl1",0
"170",32,"nCl1",0
"171",33,"nCl1",0
"172",34,"nCl1",1
"173",35,"nCl1",1
"174",36,"nCl1",1
"175",37,"nCl1",1
"176",38,"nCl1",1
"177",39,"nCl1",0.576087
"178",40,"nCl1",0.076087
"179",41,"nCl1",0.0108696
"180",42,"nCl1",0.565217
"181",43,"nCl1",0.576087
"182",44,"nCl1",0.4239133
"183",45,"nCl1",0.3695648
"184",46,"nCl1",0.1521739
"185",47,"nCl1",0.0978261
"186",48,"nCl1",0.195652
"187",49,"nCl1",0.195652
"188",50,"nCl1",0
"189",51,"nCl1",1
"190",52,"nCl1",1
"191",53,"nCl1",0.98913
"192",54,"nCl1",0.98913
"193",55,"nCl1",1
"194",56,"nCl1",1
"195",57,"nCl1",0
"196",58,"nCl1",0
"197",59,"nCl1",0
"198",60,"nCl1",0
"199",61,"nCl1",0
"200",62,"nCl1",1
"201",63,"nCl1",1
"202",64,"nCl1",0.98913
"203",65,"nCl1",0.98913
"204",66,"nCl1",1
"205",67,"nCl1",1
"206",68,"nCl1",0
"207",69,"nCl1",0
"208",1,"nCl2",0.020651701
"209",2,"nCl2",0.073887157
"210",3,"nCl2",0.030442082
"211",4,"nCl2",0.995104852
"212",5,"nCl2",0.999540951
"213",6,"nCl2",0.999999926
"214",7,"nCl2",0.999081926
"215",8,"nCl2",0.998623
"216",9,"nCl2",0.999388
"217",10,"nCl2",0
"218",11,"nCl2",0
"219",12,"nCl2",0
"220",13,"nCl2",0
"221",14,"nCl2",0.000458926
"222",15,"nCl2",0.999846926
"223",16,"nCl2",0.998623
"224",17,"nCl2",0.998623
"225",18,"nCl2",0.999999926
"226",19,"nCl2",0.999693926
"227",20,"nCl2",0.994951877
"228",21,"nCl2",0.031665901
"229",22,"nCl2",0.020957652
"230",23,"nCl2",0.012391
"231",24,"nCl2",0.1242159
"232",25,"nCl2",0.138901561
"233",26,"nCl2",0.131711581
"234",27,"nCl2",0
"235",28,"nCl2",0
"236",29,"nCl2",0.968181
"237",30,"nCl2",0.999694
"238",31,"nCl2",1
"239",32,"nCl2",0.999694
"240",33,"nCl2",0.998776
"241",34,"nCl2",0.999694
"242",35,"nCl2",0.989598
"243",36,"nCl2",0.976901
"244",37,"nCl2",0
"245",38,"nCl2",0
"246",39,"nCl2",0
"247",40,"nCl2",0
"248",41,"nCl2",0.976901
"249",42,"nCl2",0.989598
"250",43,"nCl2",0.999694
"251",44,"nCl2",0.998776
"252",45,"nCl2",0.999694
"253",46,"nCl2",1
"254",47,"nCl2",0.999694
"255",48,"nCl2",0.968181
"256",49,"nCl2",0
"257",50,"nCl2",0
"258",51,"nCl2",0.997858
"259",52,"nCl2",1
"260",53,"nCl2",0.999694
"261",54,"nCl2",0.999694
"262",55,"nCl2",1
"263",56,"nCl2",0.999541
"264",57,"nCl2",0
"265",58,"nCl2",0
"266",59,"nCl2",0
"267",60,"nCl2",0
"268",61,"nCl2",0
"269",62,"nCl2",0.999541
"270",63,"nCl2",1
"271",64,"nCl2",0.999694
"272",65,"nCl2",0.999694
"273",66,"nCl2",1
"274",67,"nCl2",0.997858
"275",68,"nCl2",0
"276",69,"nCl2",0
